0;6
0.1;5.99
0.2;5.9601
0.3;5.9106
0.4;5.8421
0.5;5.7551
0.6;5.6506
0.7;5.5296
0.8;5.3934
0.9;5.2432
1;5.0806
1.1;4.9071
1.2;4.7247
1.3;4.5349
1.4;4.3399
1.5;4.1414
1.6;3.9416
1.7;3.7423
1.8;3.5455
1.9;3.3534
2;3.1677
2.1;2.9903
2.2;2.8229
2.3;2.6674
2.4;2.5252
2.5;2.3977
2.6;2.2862
2.7;2.1918
2.8;2.1155
2.9;2.058
3;2.02
3.1;2.0017
3.2;2.0034
3.3;2.025
3.4;2.0664
3.5;2.127
3.6;2.2064
3.7;2.3037
3.8;2.418
3.9;2.5481
4;2.6927
4.1;2.8503
4.2;3.0194
4.3;3.1984
4.4;3.3853
4.5;3.5784
4.6;3.7756
4.7;3.9752
4.8;4.1749
4.9;4.373
5;4.5673
5.1;4.7559
5.2;4.937
5.3;5.1087
5.4;5.2693
5.5;5.4173
5.6;5.5511
5.7;5.6694
5.8;5.771
5.9;5.8549
6;5.9203
6.1;5.9665
6.2;5.993
6.3;5.9997
6.4;5.9863
6.5;5.9531
6.6;5.9004
6.7;5.8287
6.8;5.7387
6.9;5.6314
7;5.5078
7.1;5.369
7.2;5.2167
7.3;5.0521
7.4;4.877
7.5;4.6932
7.6;4.5025
7.7;4.3067
7.8;4.1079
7.9;3.9079
8;3.7089
8.1;3.5129
8.2;3.3216
8.3;3.1372
8.4;2.9614
8.5;2.7959
8.6;2.6425
8.7;2.5027
8.8;2.3778
8.9;2.2691
9;2.1777
9.1;2.1045
9.2;2.0503
9.3;2.0155
9.4;2.0006
9.5;2.0056
9.6;2.0306
9.7;2.0752
9.8;2.1391
9.9;2.2216
10;2.3218
